filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
10003_2_deltaCalcOutput.cu,10003_2_deltaCalcOutput,True,True,4.8606,0.0048606,
10008_81_softmax_gradient_kernel.cu,10008_81_softmax_gradient_kernel,True,True,10.8945,0.0108945,
1000_24_transposedMatrixKernel.cu,1000_24_transposedMatrixKernel,True,True,6.61657,0.00661657,
1000_25_additionMatricesKernel.cu,1000_25_additionMatricesKernel,True,True,9.6892,0.0096892,
1000_26_additionMatricesKernel.cu,1000_26_additionMatricesKernel,True,True,9.59985,0.00959985,
1000_27_transposedMatrixKernel.cu,1000_27_transposedMatrixKernel,True,True,6.46326,0.00646326,
1000_28_additionMatricesKernel.cu,1000_28_additionMatricesKernel,True,True,9.56528,0.00956528,
1000_29_matrixKernel.cu,1000_29_matrixKernel,True,True,3.37952,0.00337952,
1000_5_kernel.cu,1000_5_kernel,True,True,2.36661,0.00236661,
1001_0_grayscaleVer2D.cu,1001_0_grayscaleVer2D,True,True,3.53851,0.00353851,
10024_0_cuda_cmp_kernel.cu,10024_0_cuda_cmp_kernel,True,True,4.60003,0.00460003,
10047_0_add.cu,10047_0_add,True,True,4.39679,0.00439679,
10047_1_add.cu,10047_1_add,True,True,5.42338,0.00542338,
1006_0_kernel_example.cu,1006_0_kernel_example,True,True,8.80176,0.00880176,
1008_0_blob_rearrange_kernel2_1d.cu,1008_0_blob_rearrange_kernel2_1d,True,True,8.45534,0.00845534,
1008_7_blob_rearrange_kernel2.cu,1008_7_blob_rearrange_kernel2,True,True,8.06047,0.00806047,
10121_0_MedianFilter_gpu.cu,10121_0_MedianFilter_gpu,True,True,1.63182,0.00163182,
10121_1_addKernel.cu,10121_1_addKernel,True,True,8.72495,0.00872495,
10121_3_reduce.cu,10121_3_reduce,True,True,4.41439,0.00441439,
10121_5_reduce.cu,10121_5_reduce,True,True,6.64722,0.00664722,
10126_2_conv2genericrev.cu,10126_2_conv2genericrev,True,True,1.65861,0.00165861,
10220_1_hello.cu,10220_1_hello,True,True,2.34338,0.00234338,
10223_26_phglobal_reduce_kernel.cu,10223_26_phglobal_reduce_kernel,True,True,33.9966,0.0339966,
10242_0_kernel.cu,10242_0_kernel,True,True,5863.46,5.86346,
10270_2_conv2genericrev.cu,10270_2_conv2genericrev,True,True,1.68035,0.00168035,
1029_0_gpu_grayscale.cu,1029_0_gpu_grayscale,True,True,3.89264,0.00389264,
1029_1_gpu_gaussian.cu,1029_1_gpu_gaussian,True,True,1.67296,0.00167296,
1029_2_gpu_sobel.cu,1029_2_gpu_sobel,True,True,1.66761,0.00166761,
10383_0_batcherBitonicMergesort64.cu,10383_0_batcherBitonicMergesort64,True,True,7.22837,0.00722837,
10383_20_global_reduce_kernel.cu,10383_20_global_reduce_kernel,True,True,29.7785,0.0297785,
10383_21_shmem_reduce_kernel.cu,10383_21_shmem_reduce_kernel,True,True,5.47385,0.00547385,
10383_24_hello.cu,10383_24_hello,True,True,2.57214,0.00257214,
10383_28_hello.cu,10383_28_hello,True,True,2.59401,0.00259401,
10383_9_remove_redness_from_coordinates.cu,10383_9_remove_redness_from_coordinates,True,True,128.601,0.128601,
10393_4_relu.cu,10393_4_relu,True,True,4.69373,0.00469373,
10393_5_relu_backward.cu,10393_5_relu_backward,True,True,4.99851,0.00499851,
10406_0_kernelAddConstant.cu,10406_0_kernelAddConstant,True,True,5.32465,0.00532465,
1040_1_delete_rows_and_columns.cu,1040_1_delete_rows_and_columns,True,True,8.81555,0.00881554,
10426_0_gaxpymm.cu,10426_0_gaxpymm,True,True,652.68,0.65268,
10426_1_gaxpy.cu,10426_1_gaxpy,True,True,22.2685,0.0222685,
10492_1_reduceArgMaxKernel.cu,10492_1_reduceArgMaxKernel,True,True,29.7818,0.0297818,
104_0_total.cu,104_0_total,True,True,7.0186,0.0070186,
104_2_matrixMultiplyTiled.cu,104_2_matrixMultiplyTiled,True,True,19.7507,0.0197507,
104_3_matrixMultiply.cu,104_3_matrixMultiply,True,True,63.6444,0.0636444,
104_4_post_scan.cu,104_4_post_scan,True,True,4.1754,0.0041754,
104_5_scan.cu,104_5_scan,True,True,1.64705,0.00164705,
10615_4_tonemap_adaptive.cu,10615_4_tonemap_adaptive,True,True,18.4763,0.0184763,
10615_5_tonemap_logarithmic.cu,10615_5_tonemap_logarithmic,True,True,7.46915,0.00746915,
10693_4_MatrixMul.cu,10693_4_MatrixMul,True,True,72.0282,0.0720282,
10693_5_MatrixMulSh.cu,10693_5_MatrixMulSh,True,True,77.5824,0.0775824,
10716_9_MatrixMul.cu,10716_9_MatrixMul,True,True,69.3206,0.0693206,
10790_97_NormalizeKernel.cu,10790_97_NormalizeKernel,True,True,2.82214,0.00282214,
10802_3_Histogram_kernel.cu,10802_3_Histogram_kernel,True,True,669.546,0.669546,
10802_7_non_max_supp_kernel.cu,10802_7_non_max_supp_kernel,True,True,4.01841,0.00401841,
10802_8_hyst_kernel.cu,10802_8_hyst_kernel,True,True,2.94477,0.00294477,
10835_97_NormalizeKernel.cu,10835_97_NormalizeKernel,True,True,2.64512,0.00264512,
11022_3_vsub.cu,11022_3_vsub,True,True,4.00055,0.00400055,
11022_4_vmul.cu,11022_4_vmul,True,True,3.98709,0.00398709,
11022_5_vdiv.cu,11022_5_vdiv,True,True,4.34133,0.00434134,
11022_6_dummy.cu,11022_6_dummy,True,True,2.6114,0.0026114,
11647_0_add.cu,11647_0_add,True,True,7.21181,0.00721181,
11647_10_add.cu,11647_10_add,True,True,6.59326,0.00659326,
11647_1_add.cu,11647_1_add,True,True,25.7606,0.0257606,
11647_2_add.cu,11647_2_add,True,True,6.58962,0.00658962,
11647_3_add.cu,11647_3_add,True,True,8.32516,0.00832516,
11647_4_add.cu,11647_4_add,True,True,5.75022,0.00575022,
11819_1_gpu_stencil2D_4pt_hack5_cp_rows.cu,11819_1_gpu_stencil2D_4pt_hack5_cp_rows,True,True,3.95087,0.00395087,
11846_10_atbashGPU.cu,11846_10_atbashGPU,True,True,2.8877,0.0028877,
11934_93_relu_gpu_forward.cu,11934_93_relu_gpu_forward,True,True,3.71916,0.00371916,
