filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
10003_2_deltaCalcOutput.cu,10003_2_deltaCalcOutput,True,True,10.2958,0.0102958,
10008_81_softmax_gradient_kernel.cu,10008_81_softmax_gradient_kernel,True,True,17.4469,0.0174469,
1000_24_transposedMatrixKernel.cu,1000_24_transposedMatrixKernel,True,True,10.201,0.010201,
1000_25_additionMatricesKernel.cu,1000_25_additionMatricesKernel,True,True,14.1516,0.0141516,
1000_26_additionMatricesKernel.cu,1000_26_additionMatricesKernel,True,True,15.2192,0.0152192,
1000_27_transposedMatrixKernel.cu,1000_27_transposedMatrixKernel,True,True,15.3087,0.0153087,
1000_28_additionMatricesKernel.cu,1000_28_additionMatricesKernel,True,True,15.7837,0.0157837,
1000_29_matrixKernel.cu,1000_29_matrixKernel,True,True,9.37424,0.00937424,
1000_5_kernel.cu,1000_5_kernel,True,True,4.99803,0.00499803,
1001_0_grayscaleVer2D.cu,1001_0_grayscaleVer2D,True,True,9.36583,0.00936583,
10024_0_cuda_cmp_kernel.cu,10024_0_cuda_cmp_kernel,True,True,7.71802,0.00771802,
10047_0_add.cu,10047_0_add,True,True,9.22327,0.00922327,
10047_1_add.cu,10047_1_add,True,True,9.13036,0.00913036,
1006_0_kernel_example.cu,1006_0_kernel_example,True,True,19.8889,0.0198889,
1008_0_blob_rearrange_kernel2_1d.cu,1008_0_blob_rearrange_kernel2_1d,True,True,13.5555,0.0135555,
1008_7_blob_rearrange_kernel2.cu,1008_7_blob_rearrange_kernel2,True,True,13.2671,0.0132671,
10121_0_MedianFilter_gpu.cu,10121_0_MedianFilter_gpu,True,True,1.72221,0.00172221,
10121_1_addKernel.cu,10121_1_addKernel,True,True,16.6531,0.0166531,
10121_3_reduce.cu,10121_3_reduce,True,True,8.86535,0.00886535,
10121_5_reduce.cu,10121_5_reduce,True,True,10.2092,0.0102092,
10126_2_conv2genericrev.cu,10126_2_conv2genericrev,True,True,1.69565,0.00169565,
10220_1_hello.cu,10220_1_hello,True,True,4.9775,0.0049775,
10223_26_phglobal_reduce_kernel.cu,10223_26_phglobal_reduce_kernel,True,True,41.6836,0.0416836,
10242_0_kernel.cu,10242_0_kernel,True,True,1130.59,1.13059,
10270_2_conv2genericrev.cu,10270_2_conv2genericrev,True,True,1.66758,0.00166758,
1029_0_gpu_grayscale.cu,1029_0_gpu_grayscale,True,True,2.85245,0.00285245,
1029_1_gpu_gaussian.cu,1029_1_gpu_gaussian,True,True,1.64541,0.00164541,
1029_2_gpu_sobel.cu,1029_2_gpu_sobel,True,True,1.64699,0.00164699,
10383_0_batcherBitonicMergesort64.cu,10383_0_batcherBitonicMergesort64,True,True,4.78279,0.00478279,
10383_20_global_reduce_kernel.cu,10383_20_global_reduce_kernel,True,True,23.7034,0.0237034,
10383_21_shmem_reduce_kernel.cu,10383_21_shmem_reduce_kernel,True,True,4.18281,0.00418281,
10383_24_hello.cu,10383_24_hello,True,True,2.40067,0.00240067,
10383_28_hello.cu,10383_28_hello,True,True,2.36148,0.00236148,
10383_9_remove_redness_from_coordinates.cu,10383_9_remove_redness_from_coordinates,True,True,294.359,0.294359,
10393_4_relu.cu,10393_4_relu,True,True,14.5093,0.0145093,
10393_5_relu_backward.cu,10393_5_relu_backward,True,True,14.4155,0.0144155,
10406_0_kernelAddConstant.cu,10406_0_kernelAddConstant,True,True,9.4118,0.0094118,
