Instruction,Latency,Throughput_ILP1,Throughput_ILP2,Throughput_ILP3,PeakWarps_ILP1,PeakWarps_ILP2,PeakWarps_ILP3
FADD,6.13,93.80,119.42,123.04,23,16,16
FSUB,6.13,94.85,122.01,123.00,23,16,16
FMUL,6.13,94.59,120.42,122.34,22,16,15
FMA,6.15,101.49,116.08,116.84,23,16,16
ADDS,0.03,303.94,565.73,919.27,27,27,27
SUBS,0.03,307.50,613.20,924.94,28,24,27
AND,0.03,301.66,564.05,693.26,24,20,18
MADS,0.02,182.84,235.78,349.84,19,20,20
MULS,55.39,9.29,10.02,10.33,20,16,12
DIVS,18.41,27.98,21.56,22.54,19,16,16
DIVF,48.63,9.92,10.19,11.33,24,24,24
SQRT,61.04,8.22,8.79,9.03,20,20,23
SETP,25.46,26.17,25.08,29.60,23,12,12
CVT,26.23,15.96,16.12,16.06,15,8,8
MOV,0.12,27594.11,N.A.,N.A.,26,N.A.,N.A.
MOV.U32,0.02,5461.33,N.A.,N.A.,1,N.A.,N.A.
MOV.F32,0.12,29959.31,N.A.,N.A.,27,N.A.,N.A.
MOV.B64,0.12,1057.03,N.A.,N.A.,1,N.A.,N.A.
MOV.B32,0.02,5461.33,N.A.,N.A.,1,N.A.,N.A.
ADD.S32,0.03,303.67,572.52,888.87,24,27,24
ADD.S64,0.13,296.21,566.95,904.99,24,24,24
SUB.S32,0.03,304.64,615.72,926.30,27,26,27
MUL.LO.S32,55.39,9.33,10.02,10.34,20,16,12
MUL.WIDE.S32,426.21,1.38,1.37,1.39,12,15,15
MAD.LO.S32,56.08,9.31,9.90,10.13,22,16,12
