Instruction,Latency,Throughput_ILP1,Throughput_ILP2,Throughput_ILP3,PeakWarps_ILP1,PeakWarps_ILP2,PeakWarps_ILP3
FADD,4.02,62.60,63.28,63.85,12,8,4
FSUB,4.02,62.64,63.78,63.85,12,8,4
FMUL,4.02,62.61,63.83,63.85,12,8,4
FMA,4.04,62.80,63.86,63.81,12,8,8
ADDS,0.02,296.65,579.64,926.09,19,19,16
SUBS,0.02,292.79,625.00,932.53,19,16,16
AND,0.03,303.11,476.05,569.05,19,15,12
MADS,0.02,149.41,317.37,466.08,12,12,11
MULS,26.32,14.80,14.11,15.26,20,16,12
DIVS,8.23,29.67,22.49,22.19,8,12,8
DIVF,35.03,7.88,8.10,8.20,16,16,16
SQRT,42.34,8.21,8.26,8.32,23,23,20
SETP,14.48,29.34,28.41,28.94,16,12,8
CVT,30.03,7.98,8.00,8.00,8,4,4
MOV,0.03,85196.80,N.A.,N.A.,24,N.A.,N.A.
MOV.U32,0.02,16384.00,N.A.,N.A.,1,N.A.,N.A.
MOV.F32,0.03,85196.80,N.A.,N.A.,24,N.A.,N.A.
MOV.B64,0.03,6553.60,N.A.,N.A.,1,N.A.,N.A.
MOV.B32,0.02,16384.00,N.A.,N.A.,1,N.A.,N.A.
ADD.S32,0.02,292.79,585.32,926.67,19,20,16
ADD.S64,0.03,288.25,548.91,922.32,20,20,19
SUB.S32,0.02,286.56,625.00,932.53,18,16,16
MUL.LO.S32,26.31,14.77,14.11,15.26,20,16,12
MUL.WIDE.S32,83.77,3.60,3.21,3.69,20,12,12
MAD.LO.S32,26.73,14.67,13.68,14.63,23,16,12
