num_blocks,threads_per_block,total_threads,empty_kernel_us,single_op_us,minimal_us,launch_overhead_us
1,32,32,2.34282,2.35213,2.36301,2.34282
1,64,64,2.32858,2.56634,2.2592,2.32858
1,128,128,2.26483,2.25245,2.26317,2.26483
1,256,256,2.25974,2.23962,2.23846,2.25974
1,512,512,2.35309,2.25075,2.25926,2.35309
1,1024,1024,2.27635,2.24854,2.24493,2.27635
2,32,64,2.26874,2.24282,2.2848,2.26874
4,32,128,2.28202,2.2528,2.24666,2.28202
8,32,256,2.26714,2.23402,2.24461,2.26714
16,32,512,2.3296,2.24016,2.23334,2.3296
32,32,1024,2.28294,2.2528,2.2487,2.28294
2,256,512,2.2679,2.22931,2.28352,2.2679
4,256,1024,2.27968,2.25139,2.25075,2.27968
8,256,2048,2.26771,2.24419,2.23299,2.26771
16,256,4096,2.33136,2.2569,2.2528,2.33136
32,256,8192,2.26912,2.22675,2.23558,2.26912
5,225,1125,2.28237,2.24576,2.32909,2.28237
25,225,5625,2.25894,2.22746,2.23754,2.25894
64,256,16384,2.27357,2.24858,2.24352,2.27357
128,256,32768,2.27565,2.43302,2.24054,2.27565
256,256,65536,2.2655,2.27539,2.2777,2.2655
512,256,131072,2.18579,2.8119,3.1111,2.18579
100,100,10000,2.28557,2.25174,2.2487,2.28557
200,200,40000,2.27942,2.24362,2.23642,2.27942
500,200,100000,2.18522,3.05597,2.76144,2.18522
