filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
10003_2_deltaCalcOutput.cu,10003_2_deltaCalcOutput,True,True,2.32554,0.00232554,
10008_81_softmax_gradient_kernel.cu,10008_81_softmax_gradient_kernel,True,True,4.21498,0.00421498,
1000_24_transposedMatrixKernel.cu,1000_24_transposedMatrixKernel,True,True,3.71225,0.00371225,
1000_25_additionMatricesKernel.cu,1000_25_additionMatricesKernel,True,True,5.25263,0.00525263,
1000_26_additionMatricesKernel.cu,1000_26_additionMatricesKernel,True,True,5.26246,0.00526246,
1000_27_transposedMatrixKernel.cu,1000_27_transposedMatrixKernel,True,True,3.66849,0.00366849,
1000_28_additionMatricesKernel.cu,1000_28_additionMatricesKernel,True,True,5.41657,0.00541657,
1000_29_matrixKernel.cu,1000_29_matrixKernel,True,True,2.51903,0.00251903,
1000_5_kernel.cu,1000_5_kernel,True,True,2.24568,0.00224568,
1001_0_grayscaleVer2D.cu,1001_0_grayscaleVer2D,True,True,2.44504,0.00244504,
10024_0_cuda_cmp_kernel.cu,10024_0_cuda_cmp_kernel,True,True,2.49902,0.00249902,
10047_0_add.cu,10047_0_add,True,True,2.44507,0.00244506,
10047_1_add.cu,10047_1_add,True,True,3.70365,0.00370365,
1006_0_kernel_example.cu,1006_0_kernel_example,True,True,2.47339,0.00247339,
1008_0_blob_rearrange_kernel2_1d.cu,1008_0_blob_rearrange_kernel2_1d,True,True,2.38924,0.00238924,
1008_7_blob_rearrange_kernel2.cu,1008_7_blob_rearrange_kernel2,True,True,2.53982,0.00253982,
10121_0_MedianFilter_gpu.cu,10121_0_MedianFilter_gpu,True,True,1.5744,0.0015744,
10121_1_addKernel.cu,10121_1_addKernel,True,True,2.42016,0.00242016,
10121_3_reduce.cu,10121_3_reduce,True,True,2.30725,0.00230725,
10121_5_reduce.cu,10121_5_reduce,True,True,3.55029,0.00355029,
10126_2_conv2genericrev.cu,10126_2_conv2genericrev,True,True,1.62325,0.00162325,
10220_1_hello.cu,10220_1_hello,True,True,2.23208,0.00223208,
10223_26_phglobal_reduce_kernel.cu,10223_26_phglobal_reduce_kernel,True,True,11.2255,0.0112255,
10242_0_kernel.cu,10242_0_kernel,True,True,6583.71,6.58371,
10270_2_conv2genericrev.cu,10270_2_conv2genericrev,True,True,1.59651,0.00159651,
