gpu_architecture,gpu_id,kernel_i,kernel_j,kernel_id,grid_x,grid_y,block_x,block_y,total_blocks,threads_per_block,total_threads,execution_time_us,launch_overhead_us,predicted_time_us,predicted_time_ms
RTX_2080_Ti,cuda2,10406,0,10406_0,5,5,15,15,25,225,5625,5.79,2.287,8.077,0.008076999999999999
RTX_2080_Ti,cuda2,104,0,104_0,5,5,15,15,25,225,5625,6.065,2.287,8.352,0.008352
RTX_2080_Ti,cuda2,104,4,104_4,5,5,15,15,25,225,5625,6.012,2.287,8.299,0.008298999999999999
RTX_2080_Ti,cuda2,104,3,104_3,5,5,15,15,25,225,5625,6.89,2.287,9.177,0.009177
RTX_2080_Ti,cuda2,104,2,104_2,5,5,15,15,25,225,5625,6.687,2.287,8.974,0.008974
RTX_2080_Ti,cuda2,104,5,104_5,5,5,15,15,25,225,5625,6.641,2.287,8.928,0.008928
RTX_2080_Ti,cuda2,10835,97,10835_97,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,10693,4,10693_4,5,5,15,15,25,225,5625,6.996,2.287,9.283000000000001,0.009283000000000001
RTX_2080_Ti,cuda2,10693,5,10693_5,5,5,15,15,25,225,5625,7.178,2.287,9.465,0.009465
RTX_2080_Ti,cuda2,15777,199,15777_199,5,5,15,15,25,225,5625,6.681,2.287,8.968,0.008968
RTX_2080_Ti,cuda2,10008,81,10008_81,5,5,15,15,25,225,5625,6.041,2.287,8.328,0.008327999999999999
RTX_2080_Ti,cuda2,10802,7,10802_7,5,5,15,15,25,225,5625,6.577,2.287,8.864,0.008864
RTX_2080_Ti,cuda2,10802,8,10802_8,5,5,15,15,25,225,5625,5.89,2.287,8.177,0.008177
RTX_2080_Ti,cuda2,10802,3,10802_3,5,5,15,15,25,225,5625,6.37,2.287,8.657,0.008657
RTX_2080_Ti,cuda2,10383,20,10383_20,5,5,15,15,25,225,5625,6.038,2.287,8.325,0.008324999999999999
RTX_2080_Ti,cuda2,10383,9,10383_9,5,5,15,15,25,225,5625,6.38,2.287,8.667,0.008667
RTX_2080_Ti,cuda2,10383,0,10383_0,5,5,15,15,25,225,5625,5.805,2.287,8.091999999999999,0.008091999999999998
RTX_2080_Ti,cuda2,10383,28,10383_28,5,5,15,15,25,225,5625,5.646,2.287,7.933,0.007932999999999999
RTX_2080_Ti,cuda2,10383,21,10383_21,5,5,15,15,25,225,5625,5.956,2.287,8.243,0.008243
RTX_2080_Ti,cuda2,10383,24,10383_24,5,5,15,15,25,225,5625,5.646,2.287,7.933,0.007932999999999999
RTX_2080_Ti,cuda2,16427,1,16427_1,5,5,15,15,25,225,5625,6.385,2.287,8.672,0.008672000000000001
RTX_2080_Ti,cuda2,10121,0,10121_0,5,5,15,15,25,225,5625,6.533,2.287,8.82,0.00882
RTX_2080_Ti,cuda2,10121,1,10121_1,5,5,15,15,25,225,5625,5.849,2.287,8.136,0.008136
RTX_2080_Ti,cuda2,10121,3,10121_3,5,5,15,15,25,225,5625,5.836,2.287,8.123000000000001,0.008123000000000002
RTX_2080_Ti,cuda2,10121,5,10121_5,5,5,15,15,25,225,5625,5.89,2.287,8.177,0.008177
RTX_2080_Ti,cuda2,10126,2,10126_2,5,5,15,15,25,225,5625,7.301,2.287,9.588000000000001,0.009588000000000001
RTX_2080_Ti,cuda2,10790,97,10790_97,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,11022,6,11022_6,5,5,15,15,25,225,5625,5.644,2.287,7.931,0.007931
RTX_2080_Ti,cuda2,11022,4,11022_4,5,5,15,15,25,225,5625,5.988,2.287,8.275,0.008275000000000001
RTX_2080_Ti,cuda2,11022,3,11022_3,5,5,15,15,25,225,5625,5.873,2.287,8.16,0.00816
RTX_2080_Ti,cuda2,11022,5,11022_5,5,5,15,15,25,225,5625,5.863,2.287,8.15,0.008150000000000001
RTX_2080_Ti,cuda2,11819,1,11819_1,5,5,15,15,25,225,5625,6.16,2.287,8.447,0.008447
RTX_2080_Ti,cuda2,10024,0,10024_0,5,5,15,15,25,225,5625,5.858,2.287,8.145,0.008145
RTX_2080_Ti,cuda2,10220,1,10220_1,5,5,15,15,25,225,5625,5.647,2.287,7.934,0.007934
RTX_2080_Ti,cuda2,10242,0,10242_0,5,5,15,15,25,225,5625,7.113,2.287,9.4,0.0094
RTX_2080_Ti,cuda2,15753,199,15753_199,5,5,15,15,25,225,5625,6.681,2.287,8.968,0.008968
RTX_2080_Ti,cuda2,1,20,1_20,5,5,15,15,25,225,5625,9.56,2.287,11.847000000000001,0.011847000000000002
RTX_2080_Ti,cuda2,1,18,1_18,5,5,15,15,25,225,5625,5.844,2.287,8.131,0.008131000000000001
RTX_2080_Ti,cuda2,1,0,1_0,5,5,15,15,25,225,5625,6.188,2.287,8.475,0.008475
RTX_2080_Ti,cuda2,1,16,1_16,5,5,15,15,25,225,5625,6.173,2.287,8.46,0.00846
RTX_2080_Ti,cuda2,1,42,1_42,5,5,15,15,25,225,5625,6.088,2.287,8.375,0.008375
RTX_2080_Ti,cuda2,1,45,1_45,5,5,15,15,25,225,5625,6.211,2.287,8.498000000000001,0.008498
RTX_2080_Ti,cuda2,1,17,1_17,5,5,15,15,25,225,5625,6.37,2.287,8.657,0.008657
RTX_2080_Ti,cuda2,1,1,1_1,5,5,15,15,25,225,5625,6.195,2.287,8.482,0.008482
RTX_2080_Ti,cuda2,1,19,1_19,5,5,15,15,25,225,5625,6.472,2.287,8.759,0.008759000000000001
RTX_2080_Ti,cuda2,1,21,1_21,5,5,15,15,25,225,5625,9.561,2.287,11.847999999999999,0.011848
RTX_2080_Ti,cuda2,1,44,1_44,5,5,15,15,25,225,5625,6.073,2.287,8.36,0.00836
RTX_2080_Ti,cuda2,1,43,1_43,5,5,15,15,25,225,5625,6.285,2.287,8.572,0.008572
RTX_2080_Ti,cuda2,1,38,1_38,5,5,15,15,25,225,5625,6.256,2.287,8.543,0.008542999999999999
